DocID     RunID       Language Metatype GoldClusterID     SystemClusterID     Prec Recall     F1
IC001V8NY example-run SPA      Relation cluster-NILR21094 cluster-NILR21094 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21095 cluster-NILR21095 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21096 cluster-NILR21096 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21097 cluster-NILR21097 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21098 cluster-NILR21098 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21099 cluster-NILR21099 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21100 cluster-NILR21100 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21101 cluster-NILR21101 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21102 cluster-NILR21102 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21103 cluster-NILR21103 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21104 cluster-NILR21104 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21105 cluster-NILR21105 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21106 cluster-NILR21106 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21107 cluster-NILR21107 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21108 cluster-NILR21108 1.0000 1.0000 1.0000
IC001V8NY example-run SPA      Relation cluster-NILR21109 cluster-NILR21109 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20001 cluster-NILV20001 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20002 cluster-NILV20002 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20003 cluster-NILV20003 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20004 cluster-NILV20004 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20005 cluster-NILV20005 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20006 cluster-NILV20006 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20007 cluster-NILV20007 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20008 cluster-NILV20008 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20009 cluster-NILV20009 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20010 cluster-NILV20010 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20011 cluster-NILV20011 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Event    cluster-NILV20012 cluster-NILV20012 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Relation cluster-NILR20001 cluster-NILR20001 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Relation cluster-NILR20002 cluster-NILR20002 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Relation cluster-NILR20003 cluster-NILR20003 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Relation cluster-NILR20004 cluster-NILR20004 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Relation cluster-NILR20005 cluster-NILR20005 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Relation cluster-NILR20006 cluster-NILR20006 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Relation cluster-NILR20007 cluster-NILR20007 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Relation cluster-NILR20008 cluster-NILR20008 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Relation cluster-NILR20009 cluster-NILR20009 1.0000 1.0000 1.0000
IC001V8WF example-run ENG      Relation cluster-NILR20010 cluster-NILR20010 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Event    cluster-NILV21230 cluster-NILV21230 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Event    cluster-NILV21231 cluster-NILV21231 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Event    cluster-NILV21232 cluster-NILV21232 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Event    cluster-NILV21233 cluster-NILV21233 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Event    cluster-NILV21234 cluster-NILV21234 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Event    cluster-NILV21235 cluster-NILV21235 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Event    cluster-NILV21236 cluster-NILV21236 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Event    cluster-NILV21237 cluster-NILV21237 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Relation cluster-NILR21230 cluster-NILR21230 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Relation cluster-NILR21231 cluster-NILR21231 1.0000 1.0000 1.0000
IC001V9CI example-run SPA      Relation cluster-NILR21232 cluster-NILR21232 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20066 cluster-NILV20066 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20067 cluster-NILV20067 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20068 cluster-NILV20068 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20069 cluster-NILV20069 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20070 cluster-NILV20070 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20071 cluster-NILV20071 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20072 cluster-NILV20072 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20073 cluster-NILV20073 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20074 cluster-NILV20074 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20075 cluster-NILV20075 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20076 cluster-NILV20076 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20077 cluster-NILV20077 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20078 cluster-NILV20078 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20079 cluster-NILV20079 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20080 cluster-NILV20080 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20081 cluster-NILV20081 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20082 cluster-NILV20082 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20083 cluster-NILV20083 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20084 cluster-NILV20084 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20085 cluster-NILV20085 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20086 cluster-NILV20086 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20087 cluster-NILV20087 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20088 cluster-NILV20088 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Event    cluster-NILV20090 cluster-NILV20090 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20066 cluster-NILR20066 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20067 cluster-NILR20067 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20068 cluster-NILR20068 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20069 cluster-NILR20069 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20070 cluster-NILR20070 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20071 cluster-NILR20071 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20072 cluster-NILR20072 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20073 cluster-NILR20073 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20075 cluster-NILR20075 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20076 cluster-NILR20076 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20077 cluster-NILR20077 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20078 cluster-NILR20078 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20079 cluster-NILR20079 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20080 cluster-NILR20080 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20081 cluster-NILR20081 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20082 cluster-NILR20082 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20083 cluster-NILR20083 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20084 cluster-NILR20084 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20085 cluster-NILR20085 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20086 cluster-NILR20086 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20087 cluster-NILR20087 1.0000 1.0000 1.0000
IC001V9U9 example-run ENG      Relation cluster-NILR20088 cluster-NILR20088 1.0000 1.0000 1.0000
