DocID     RunID       GoldClusterID     SystemClusterID     Prec Recall     F1
IC001VAPK example-run cluster-NILE20325 cluster-NILE20325 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20326 cluster-NILE20326 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20327 cluster-NILE20327 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20328 cluster-NILE20328 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20329 cluster-NILE20329 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20330 cluster-NILE20330 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20331 cluster-NILE20331 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20332 cluster-NILE20332 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20333 cluster-NILE20333 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20334 cluster-NILE20334 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20335 cluster-NILE20335 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20336 cluster-NILE20336 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20337 cluster-NILE20337 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20338 cluster-NILE20338 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20339 cluster-NILE20339 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20340 cluster-NILE20340 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20341 cluster-NILE20341 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20342 cluster-NILE20342 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20343 cluster-NILE20343 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILE20344 cluster-NILE20344 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20310 cluster-NILR20310 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20311 cluster-NILR20311 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20312 cluster-NILR20312 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20313 cluster-NILR20313 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20314 cluster-NILR20314 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20315 cluster-NILR20315 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20316 cluster-NILR20316 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20317 cluster-NILR20317 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20318 cluster-NILR20318 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20319 cluster-NILR20319 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20320 cluster-NILR20320 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20322 cluster-NILR20322 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20310 cluster-NILV20310 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20311 cluster-NILV20311 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20312 cluster-NILV20312 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20313 cluster-NILV20313 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20314 cluster-NILV20314 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20315 cluster-NILV20315 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20316 cluster-NILV20316 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20317 cluster-NILV20317 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20318 cluster-NILV20318 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21300 cluster-NILE21300 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21301 cluster-NILE21301 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21302 cluster-NILE21302 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21303 cluster-NILE21303 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21304 cluster-NILE21304 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21305 cluster-NILE21305 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21306 cluster-NILE21306 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21307 cluster-NILE21307 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21308 cluster-NILE21308 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21309 cluster-NILE21309 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21310 cluster-NILE21310 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILE21311 cluster-NILE21311 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILV21300 cluster-NILV21300 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILV21301 cluster-NILV21301 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILV21302 cluster-NILV21302 1.0000 1.0000 1.0000
IC001VFH8 example-run cluster-NILE21435 cluster-NILE21435 1.0000 1.0000 1.0000
