slot_type_code	slot_type
evt015arg03instrument	Conflict.Attack.Strangling_Instrument
evt018arg03place	Conflict.Yield_Place
evt019arg03destination	Conflict.Yield.Retreat_Destination
evt020arg03place	Conflict.Yield.Surrender_Place
evt021arg03place	Contact.Collaborate_Place
evt022arg03place	Contact.Collaborate.Correspondence_Place
evt023arg03place	Contact.Collaborate.Meet_Place
evt024arg03place	Contact.CommandOrder_Place
evt025arg03place	Contact.CommandOrder.Broadcast_Place
evt026arg03place	Contact.CommandOrder.Correspondence_Place
evt027arg03place	Contact.CommandOrder.Meet_Place
evt028arg03place	Contact.CommitmentPromiseExpressIntent_Place
evt029arg03place	Contact.CommitmentPromiseExpressIntent.Broadcast_Place
evt030arg03place	Contact.CommitmentPromiseExpressIntent.Correspondence_Place
evt031arg03place	Contact.CommitmentPromiseExpressIntent.Meet_Place
evt032arg03place	Contact.Discussion_Place
evt033arg03place	Contact.Discussion.Correspondence_Place
evt034arg03place	Contact.Discussion.Meet_Place
evt035arg03deceased	Contact.FuneralVigil_Deceased
evt036arg03deceased	Contact.FuneralVigil.Meet_Deceased
evt037arg03place	Contact.MediaStatement_Place
evt038arg03place	Contact.MediaStatement.Broadcast_Place
evt039arg03place	Contact.Negotiate_Place
evt040arg03place	Contact.Negotiate.Correspondence_Place
evt041arg03place	Contact.Negotiate.Meet_Place
evt042arg03place	Contact.Prevarication_Place
evt043arg03place	Contact.Prevarication.Broadcast_Place
evt044arg03place	Contact.Prevarication.Correspondence_Place
evt045arg03place	Contact.Prevarication.Meet_Place
evt046arg03place	Contact.PublicStatementInPerson_Place
evt047arg03place	Contact.PublicStatementInPerson.Broadcast_Place
evt048arg03place	Contact.RequestAdvise_Place
evt049arg03place	Contact.RequestAdvise.Broadcast_Place
evt050arg03place	Contact.RequestAdvise.Correspondence_Place
evt051arg03place	Contact.RequestAdvise.Meet_Place
evt052arg03place	Contact.ThreatenCoerce_Place
evt053arg03place	Contact.ThreatenCoerce.Broadcast_Place
evt054arg03place	Contact.ThreatenCoerce.Correspondence_Place
evt055arg03place	Contact.ThreatenCoerce.Meet_Place
evt057arg03crashobject	Disaster.AccidentCrash.AccidentCrash_CrashObject
evt059arg03place	Disaster.FireExplosion.FireExplosion_Place
evt060arg03place	Government.Agreements_Place
evt061arg03place	Government.Agreements.AcceptAgreementContractCeasefire_Place
evt062arg03place	Government.Agreements.RejectNullifyAgreementContractCeasefire_Place
evt063arg03place	Government.Agreements.ViolateAgreement_Place
evt064arg03place	Government.Formation_Place
evt065arg03place	Government.Formation.MergeGPE_Place
evt066arg03place	Government.Formation.StartGPE_Place
evt068arg03place	Government.Legislate.Legislate_Place
evt070arg03beneficiary	Government.Spy.Spy_Beneficiary
evt071arg03ballot	Government.Vote_Ballot
evt072arg03ballot	Government.Vote.CastVote_Ballot
