ldctype	ldcsubtype	ldcrole	nisttype	nistsubtype	nistrole
life	divorce	per	Life	Divorce	Person
life	divorce	per	Life	Divorce	Person
life	divorce	plc	Life	Divorce	Place
life	divorce	date	Life	Divorce	Time
life	injure	perorggpe	Life	Injure	Agent
life	injure	per	Life	Injure	Victim
life	injure	weavehthg	Life	Injure	Instrument
life	injure	plc	Life	Injure	Place
life	injure	date	Life	Injure	Time
life	die	perorggpe	Life	Die	Agent
life	die	per	Life	Die	Victim
life	die	weavehthg	Life	Die	Instrument
life	die	plc	Life	Die	Place
life	die	date	Life	Die	Time
movement	transper	perorggpe	Movement	TransportPerson	Agent
movement	transper	per	Movement	TransportPerson	Person
movement	transper	vehwea	Movement	TransportPerson	Instrument
movement	transper	plcfrom	Movement	TransportPerson	Origin
movement	transper	plcto	Movement	TransportPerson	Destination
movement	transper	date	Movement	TransportPerson	Time
movement	transart	perorggpe	Movement	TransportArtifact	Agent
movement	transart	thg	Movement	TransportArtifact	Artifact
movement	transart	vehwea	Movement	TransportArtifact	Instrument
