DocID     RunID             Language Metatype GoldClusterID      SystemClusterID   TypeSimilarity
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33791 cluster-NILE30164         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33795 cluster-NILE30165         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33799 cluster-NILE30166         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33801 cluster-NILE30169         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33804 cluster-NILE30168         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33806 cluster-NILE30167         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33810 cluster-NILE30170         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33812 cluster-NILE30171         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33815 cluster-NILE30239         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33816 cluster-NILE30173         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33817 cluster-NILE30176         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33820 cluster-NILE30238         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33822 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33824 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33827 cluster-NILE30241         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33830 cluster-NILE30172         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33834 cluster-NILE30240         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33837 cluster-NILE30119         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33839 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q10387826  cluster-Q10387826         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q155       cluster-Q155              1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q160381    cluster-NILE30088         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q163810    cluster-Q163810           1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q1638425   cluster-Q1638425          1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q176916    cluster-Q7580872          1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q1856835   cluster-Q1856835          1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q2         cluster-Q16502            1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-Q29427132  cluster-Q29427132         1.0000
